date,day,time_uk,week,platform,format,idea_id,pillar,title,hook,status
2026-09-04,Friday,09:30,2,linkedin,linkedin,X-034,b2b,Awin-ready publisher energy,Comparison sites that only shout 'CHEAPEST DEAL' are why advertisers invented brand guidelines.,Draft
2026-09-07,Monday,08:30,3,x,tweet,X-015,pun,Bandwidth like a British summer,My bandwidth is like a British summer.,Draft
2026-09-07,Monday,18:30,3,instagram,story,X-019,sarcasm,"Story: Same copper, different jumper",Reply with the brand you thought was 'the network' and we'll gently ruin Christmas.,Draft
2026-09-08,Tuesday,12:30,3,instagram,feed,X-016,sarcasm,"April, the other tax month","April: council tax, broadband, and the urge to move to France.",Draft
2026-09-08,Tuesday,19:00,3,instagram,story,X-020,british-life,"Story: Zoom, you're muted, no it's the line","HR people, drop the funniest thing you've seen a lag do to a grown adult.",Draft
2026-09-09,Wednesday,08:30,3,tiktok,tiktok,X-017,meme,Wi-Fi name personality test,Your Wi-Fi name is a personality test.,Draft
2026-09-09,Wednesday,18:30,3,instagram,story,X-021,pun,Story: Packet loss packed lunch,"Break-up texts for your ISP. We'll post the best ones. Keep it PG, this is broadband not Love Island.",Draft
2026-09-10,Thursday,12:30,3,x,tweet,X-018,useful-funny,Speed you actually need,You do not need a gigabit to email your solicitor.,Draft
2026-09-10,Thursday,19:00,3,instagram,story,X-022,british-life,Story: Greggs vs gigabit,Sausage roll or steak bake: what is your broadband actually worth?,Draft
2026-09-11,Friday,12:00,3,instagram,reel,X-019,sarcasm,"Same copper, different jumper",Choosing broadband by TV advert is like choosing a pension by jingle.,Draft
2026-09-11,Friday,19:30,3,instagram,story,X-023,meme,Story: TfL delay board,Write the delay reason for your line. 'Leaves on the copper' is already taken.,Draft
2026-09-12,Saturday,10:00,3,tiktok,tiktok,X-020,british-life,"Zoom, you're muted, no it's the line",You're muted. No — that's the broadband.,Draft
2026-09-13,Sunday,10:00,3,x,tweet,X-021,pun,Packet loss packed lunch,It's not you. It's packet loss.,Draft
2026-09-08,Tuesday,09:30,3,linkedin,linkedin,X-025,b2b,Providers: we will list you anyway,We will list your broadband even if you never pay us a penny.,Draft
2026-09-11,Friday,09:30,3,linkedin,linkedin,X-034,b2b,Awin-ready publisher energy,Comparison sites that only shout 'CHEAPEST DEAL' are why advertisers invented brand guidelines.,Draft
2026-09-14,Monday,08:30,4,x,tweet,X-022,british-life,Greggs vs gigabit,I'd give up a sausage roll for 900 Mbps.,Draft
2026-09-14,Monday,18:30,4,instagram,story,X-027,quote,Story: Hell is other people's Netflix,Who is the Netflix in your relationship? Tag them. Then hide.,Draft
2026-09-15,Tuesday,12:30,4,instagram,feed,X-023,meme,TfL delay board,Wi-Fi delayed due to signalling problems in the cupboard.,Draft
2026-09-15,Tuesday,19:00,4,instagram,story,X-028,british-life,Story: Moving house broadband,"What's the first thing you set up in a new place: kettle, Wi-Fi, or the telly? There is a wrong answer.",Draft
2026-09-16,Wednesday,08:30,4,tiktok,tiktok,X-024,useful-funny,Things faster than your broadband,Things that are currently faster than your broadband.,Draft
2026-09-16,Wednesday,18:30,4,instagram,story,X-029,sarcasm,Story: Chatbot of Theseus,Paste the worst chatbot line you've been sent. We'll workshop a tragedy.,Draft
2026-09-17,Thursday,12:30,4,x,tweet,X-026,meme,2am vs 7pm speed test,Speed test at 2am vs speed test at 7pm.,Draft
2026-09-17,Thursday,19:00,4,instagram,story,X-030,pun,Story: Broad band,Rate this pun 1–10. 1 is 'leave the country'. 10 is 'put it on a tea towel'.,Draft
2026-09-18,Friday,12:00,4,instagram,reel,X-027,quote,Hell is other people's Netflix,Hell is other people's Netflix on your connection.,Draft
2026-09-18,Friday,19:30,4,instagram,story,X-031,useful-funny,Story: Poll: who is the IT department,"This IS the engagement. Use native polls on X, IG Stories, TikTok stickers.",Draft
2026-09-19,Saturday,10:00,4,tiktok,tiktok,X-028,british-life,Moving house broadband,Moving house is two crises in a trench coat. One of them is broadband.,Draft
2026-09-20,Sunday,10:00,4,x,tweet,X-029,sarcasm,Chatbot of Theseus,I asked the ISP chatbot if I could leave. It asked if I'd tried restarting myself.,Draft
2026-09-15,Tuesday,09:30,4,linkedin,linkedin,X-025,b2b,Providers: we will list you anyway,We will list your broadband even if you never pay us a penny.,Draft
2026-09-18,Friday,09:30,4,linkedin,linkedin,X-034,b2b,Awin-ready publisher energy,Comparison sites that only shout 'CHEAPEST DEAL' are why advertisers invented brand guidelines.,Draft
